"mechanism","dominance","r2_dominant_parent","R2_linear_both","gain"
"CDH1-ERBB3",0.562115384615385,0.188018459919171,0.31227488865974,0.124256428740569
"CDH1-IGF1R",0.935115384615385,0.604835355130269,0.617461304864414,0.0126259497341452
"CDH1-ITGAE",0.970307692307692,0.281461677598716,0.288708108802215,0.00724643120349822
"CDH1-LRP5",0.593230769230769,0.221064604901353,0.404002786527972,0.182938181626619
"CDH1-PTPRF",0.962730769230769,0.667109930608282,0.714995057854711,0.0478851272464281
"CDH1-PTPRM",0.836230769230769,0.376601311936677,0.41189030139086,0.0352889894541832
"CFH-ITGAM",0.955576923076923,0.572832726401381,0.605627710288636,0.0327949838872552
"CFH-SELL",0.920461538461538,0.211262139699329,0.216171216751936,0.00490907705260696
"CGN-F11R",0.917846153846154,0.457719421229686,0.496797559487088,0.0390781382574023
"CGN-OCLN",0.797807692307692,0.347739530809562,0.517977790549648,0.170238259740086
"CGN-TGFBR1",0.968,0.582378600544131,0.590090742919225,0.00771214237509443
"CGN-TGFBR2",0.961038461538462,0.601292192862004,0.605596241789845,0.00430404892784086
"CHAD-ITGA2",0.8035,0.0557626646939828,0.102564800824201,0.0468021361302183
"CHAD-ITGB1",0.990538461538462,0.875611061590686,0.876211481609721,0.000600420019034043
"CLCF1-CNTFR",0.901884615384615,0.320756053222374,0.331658586109148,0.0109025328867733
"CLCF1-CRLF1",0.9875,0.752287479607381,0.761621696487997,0.00933421688061631
"CLCF1-IL6ST",0.998384615384615,0.9507059476777,0.951121590440583,0.000415642762882751
"CLCF1-LIFR",0.994230769230769,0.761577170914521,0.763736747616947,0.00215957670242517
"CLEC11A-KIT",0.891192307692308,0.402053381770882,0.454884085855305,0.0528307040844228
"CNTF-CNTFR",0.980307692307692,0.602046682016103,0.604877279090629,0.00283059707452582
"CNTF-IL6ST",0.9995,0.975909370849288,0.975921314780023,1.19439307351143e-05
"CNTF-LIFR",0.999076923076923,0.93844577098245,0.938543481941452,9.77109590023506e-05
"CNTN2-CNTN1",0.929038461538462,0.959364628179292,0.960965267804203,0.00160063962491175
"CNTN2-CNTNAP2",0.988076923076923,0.989258507409586,0.989335182599582,7.66751899958784e-05
"CNTN2-NRCAM",0.936807692307692,0.886788367155507,0.896982624250926,0.0101942570954192
"CNTN2-NRP1",0.980115384615385,0.652432065275363,0.652898587596886,0.000466522321523
"CNTN4-PTPRG",0.917615384615385,0.427873179342806,0.491184851455105,0.0633116721122992
"COL11A1-DDR1",0.912384615384615,0.611215333747685,0.611315667046045,0.000100333298360678
"COL11A1-ITGA2",0.982653846153846,0.668263039249175,0.670203893517653,0.00194085426847845
"COL11A1-ITGB1",0.760076923076923,0.309463662106796,0.517475509328277,0.208011847221481
"COL14A1-CD44",0.999884615384615,0.999509726256627,0.999510180323528,4.54066901300898e-07
"COL18A1-GPC1",0.677807692307692,0.532460785450969,0.620977224775018,0.0885164393240488
"COL18A1-GPC4",0.929461538461538,0.626122686868164,0.650063599168985,0.0239409123008207
"COL18A1-ITGA5",0.972769230769231,0.787565848313607,0.796331305527861,0.00876545721425426
"COL18A1-ITGB1",0.856192307692308,0.750644958100192,0.803089310074847,0.0524443519746546
"COL18A1-KDR",0.850115384615385,0.692738621434455,0.748200207163572,0.055461585729117
"COL1A1-CD36",0.994961538461538,0.958413705773036,0.958486856525464,7.315075242742e-05
"COL1A1-CD44",0.904846153846154,0.911517424997486,0.919084953460635,0.00756752846314934
"COL1A1-CD93",0.994192307692308,0.963526444182831,0.963864682798757,0.000338238615925968
"COL1A1-DDR1",0.999538461538461,0.996183117378341,0.996185230827548,2.11344920675316e-06
"COL1A1-DDR2",0.999692307692308,0.998828231213219,0.998832642498883,4.41128566408544e-06
"COL1A1-FLT4",0.999884615384615,0.999680200732188,0.999680280177853,7.9445665157607e-08
"COL1A1-ITGA1",0.997423076923077,0.939990428388686,0.940298630471024,0.000308202082337616
"COL1A1-ITGA11",1,1,1,0
"COL1A1-ITGA2",0.999538461538461,0.940740377546918,0.940980040420046,0.000239662873127711
"COL1A1-ITGA5",0.999846153846154,0.999614660334429,0.999614937290374,2.76955944844559e-07
"COL1A1-ITGAV",0.998923076923077,0.986970106772797,0.987050459961596,8.0353188799509e-05
"COL1A1-ITGB1",0.965115384615385,0.958975371365405,0.961379570936239,0.0024041995708346
