"mechanism","ligand","receptor","frac_from_ligand","dominance","dominant","r_dominant","r_other","max_r_any_input_gene","nearest_gene"
"THBS1-SCARB1","Thbs1","Scarb1",0.317461538461538,0.682538461538462,"receptor",0.528132631665995,0.282186471554311,0.528132631665998,"Scarb1"
"THBS1-SDC1","Thbs1","Sdc1",0.513384615384615,0.513384615384615,"ligand",0.499483728055201,0.609503710811485,0.609503710811485,"Sdc1"
"THBS1-SDC4","Thbs1","Sdc4",0.375615384615385,0.624384615384615,"receptor",0.730797705139555,0.527286953160669,0.730797705139554,"Sdc4"
"THBS1-TNFRSF11B","Thbs1","Tnfrsf11b",0.0306153846153846,0.969384615384615,"receptor",0.68374537702032,0.0295908261508408,0.683745377020326,"Tnfrsf11b"
"THBS2-CD47","Thbs2","Cd47",0.668423076923077,0.668423076923077,"ligand",0.621560707043868,0.321278671048064,0.63553499414547,"Col1a1"
"THBS2-ITGA4","Thbs2","Itga4",0.329923076923077,0.670076923076923,"receptor",0.501002162057138,0.228998653175095,0.501002162057138,"Itga4"
"THBS2-ITGA6","Thbs2","Itga6",0.306846153846154,0.693153846153846,"receptor",0.621357595576085,0.316517920935961,0.621357595576085,"Itga6"
"THBS2-ITGB1","Thbs2","Itgb1",0.909423076923077,0.909423076923077,"ligand",0.850264823993631,0.483964636324949,0.850264823993632,"Thbs2"
"THBS2-NOTCH3","Thbs2","Notch3",0.222769230769231,0.777230769230769,"receptor",0.675942271208462,0.29497225069481,0.675942271208467,"Notch3"
"THBS2-NOTCH4","Thbs2","Notch4",0.0338461538461538,0.966153846153846,"receptor",0.759228990243783,0.105186011947055,0.759228990243783,"Notch4"
"TIMP1-CD63","Timp1","Cd63",0.998384615384615,0.998384615384615,"ligand",0.991202767964914,0.337322827181341,0.991202767964912,"Timp1"
"TIMP2-ITGA3","Timp2","Itga3",0.00934615384615385,0.990653846153846,"receptor",0.812135660459238,0.0664850085785496,0.812135660459233,"Itga3"
"TIMP2-ITGB1","Timp2","Itgb1",0.851038461538462,0.851038461538462,"ligand",0.873796883818769,0.545249725858093,0.873796883818765,"Timp2"
"TIMP3-AGTR2","Timp3","Agtr2",0.919538461538462,0.919538461538462,"ligand",0.758111689908335,0.189301473252743,0.75811168990834,"Timp3"
"TIMP3-KDR","Timp3","Kdr",0.910230769230769,0.910230769230769,"ligand",0.672488971126265,0.271409971735726,0.672488971126265,"Timp3"
"TNC-CNTN1","Tnc","Cntn1",0.0930384615384615,0.906961538461538,"receptor",0.828088539572668,0.362717838329913,0.828088539572671,"Cntn1"
"TNC-EGFR","Tnc","Egfr",0.181846153846154,0.818153846153846,"receptor",0.654603536502518,0.249711748202715,0.654603536502517,"Egfr"
"TNC-ITGA2","Tnc","Itga2",0.0246153846153846,0.975384615384615,"receptor",0.75608087396875,0.0959657851732408,0.75608087396875,"Itga2"
"TNC-ITGA5","Tnc","Itga5",0.0656153846153846,0.934384615384615,"receptor",0.799500189971518,0.153284105446511,0.799500189971514,"Itga5"
"TNC-ITGA7","Tnc","Itga7",0.0352692307692308,0.964730769230769,"receptor",0.797981632031539,0.109026789882859,0.797981632031534,"Itga7"
"TNC-ITGA8","Tnc","Itga8",0.0950384615384615,0.904961538461538,"receptor",0.660542621995714,0.111719211636197,0.660542621995711,"Itga8"
"TNC-ITGA9","Tnc","Itga9",0.505423076923077,0.505423076923077,"ligand",0.413421616032652,0.623955133968803,0.623955133968799,"Itga9"
"TNC-ITGAV","Tnc","Itgav",0.278576923076923,0.721423076923077,"receptor",0.658973849703625,0.327531928724977,0.658973849703627,"Itgav"
"TNC-ITGB1","Tnc","Itgb1",0.847807692307692,0.847807692307692,"ligand",0.729858954726816,0.334955391209519,0.729858954726819,"Tnc"
"TNC-NT5E","Tnc","Nt5e",0.00638461538461538,0.993615384615385,"receptor",0.859081240013281,0.0676976333498777,0.859081240013286,"Nt5e"
