"mechanism","rho_true","rho_null","spearman_true","spearman_null"
"COL18A1-GPC4",0.133881576608924,0.0480953262039056,0.378087949894076,0.253608902828279
"COL18A1-ITGA5",0.161674223228037,0.150848488221234,0.414791453040543,0.393820165481072
"COL18A1-ITGB1",0.386900015284251,-0.107751216418105,0.543045888849749,0.0601226677409643
"COL18A1-KDR",0.313815559571883,0.325505744574972,0.46166161578944,0.543225685279464
"COL1A1-CD36",0.0155434877106267,0.041719952109637,0.341671798350675,0.208096930422765
"COL1A1-CD44",0.342073933021161,0.275176962451222,0.320885859112143,0.390856869708596
"COL1A1-CD93",0.163897503742237,0.187832444710318,0.434576659070949,0.517393677879394
"COL1A1-DDR1",0.0701987166364605,0.0745258890794188,0.289244111187321,0.310760170369809
"COL1A1-DDR2",0.504224905922424,-0.0186645545530885,0.718716747698602,0.202171760158197
"COL1A1-FLT4",0.116336397436474,0.0582959247026844,0.325891134925192,0.281401103110175
"COL1A1-ITGA1",0.11851216587189,0.205712187145476,0.379927295538582,0.411402345056922
"COL1A1-ITGA11",0.376189825703871,0.0933221292920162,0.446383357147813,0.42473566827874
"COL1A1-ITGA2",0.116176547325365,0.0395664384537871,0.376735132700223,0.298334319496626
"COL1A1-ITGA5",0.190714582017593,0.185887358353888,0.477987135044815,0.391721081052159
"COL1A1-ITGAV",0.270551580959364,0.0908956629141234,0.474125487924628,0.409613666712901
"COL1A1-ITGB1",0.42651356502796,0.131410677797646,0.623808842440546,0.312580740710918
"COL1A1-TMPRSS6",-0.224767407903579,0.00508053519193554,-0.151554780009127,0.291282647861479
"COL1A2-CD36",0.0134435756338908,0.341166361791599,0.350761058602628,0.564823542767263
"COL1A2-CD44",0.35423667145724,-0.191000996553999,0.335862390827288,-0.280078691078177
"COL1A2-CD93",0.160393093563958,0.139749735464734,0.447430591618411,0.347466955617327
"COL1A2-FLT4",0.108995818328751,0.179759489998937,0.341409283053974,0.445425968457276
"COL1A2-ITGA1",0.127985101212153,0.108385382763128,0.390166612358917,0.151808860286244
"COL1A2-ITGA11",0.333515574971864,0.105893477793756,0.447903616465492,0.258104995024962
"COL1A2-ITGA2",0.114946459021498,0.149035283318846,0.39547450702016,0.434179525008231
"COL1A2-ITGA2B",-0.0331778263194174,-0.147677118163526,0.0533059116783087,0.230261131344264
"COL1A2-ITGAV",0.278955240862984,0.0795257796618954,0.492983853372188,0.286011578819544
"COL1A2-ITGB1",0.432154893064679,-0.0518327070615556,0.638695261481456,0.315639720188361
"COL1A2-ITGB3",0.0624087652089208,0.17087397912661,0.233221199126294,0.410815963895381
"COL2A1-DDR1",-0.0936539616977429,-0.00999135261193772,0.0349448239681705,0.0886551318148062
"COL2A1-ITGA1",-0.0189863489316839,-0.0675901609417253,0.129645554999248,0.104345246659364
"COL2A1-ITGA10",0.253967380831984,-0.0635591768620296,0.432830598300956,0.166061340903823
